Predicted,Classes,New Predicted,question_description,
Weight Gain,Weight Gain,Weight Gain,How to gain weight... I m 18 years male and my height is 180cms but my weight is 55kg,
Hair Treatment,Hair Treatment,Hair Treatment,I am having extreme hairfall what to do?,
Diet and Food,"Ear, Nose and Throat",Diet and Food,"a typhoid patent having 320, what should they eat and what not to eat? Also having less haemoglobin in body what to do ?",
Skin,Skin,Skin,"how to prevent skin infection
",
Others,Eyes,Eyes,any vegetables or any edible products to have get cure from sudden vision loss or acute vision loss,
Gym,Gym,Gym,how can I keep my fitness control? ,
General Problems,General Problems,General Problems,What is meant by icu in hospital ,
Weight Loss,Weight Loss,Weight Loss,I want to lose my own clothes ,
Others,"Stomach, Kidney and Liver","Stomach, Kidney and Liver", my bilateral kidney is small in size give solution ,
Height,Height,Height,hii I am so tall and I have to make body for that what I do?,
Hair Treatment,Hair Treatment,Hair Treatment,"prescribe dietary modifications I should made to change my brittle hair into strong
",
Diet and Food,Diet and Food,Diet and Food,how can I reveal my health fitness ??,
Blood Related,Blood Related,Blood Related,how to control blood pressure maintained,
"Ear, Nose and Throat","Ear, Nose and Throat","Ear, Nose and Throat",I have severe throat pain what is the remedy,
Weight Loss,Weight Loss,Weight Loss,I want to lose weight what should I do?,
Diet and Food,Diet and Food,Diet and Food,what to eat in jaundice disease,
"Stomach, Kidney and Liver","Stomach, Kidney and Liver","Stomach, Kidney and Liver","I have gastrological problem, so what should I do?",
Cold,Cold,Cold,which medicine is preferable for fever,
Others,Others,Others,"పోట్ట। తగ్గ డా నికి। తీసుకొవలసిన। జాగ్రత లు

",
Others,Others,Others,"வணக்கம்,தொப்பையை குறைப்பது எப்படி, கொழுப்பை எவ்வாறு குறைக்க வேண்டும் ",
"Ear, Nose and Throat","Ear, Nose and Throat","Ear, Nose and Throat",I have severe throat pain what is the remedy,
Stress and Anxiety,Stress and Anxiety,Stress and Anxiety,what can I do when I have depressed,
Weight Loss,Weight Loss,Weight Loss,How to lose belly and chest fat?,
Diet and Food,Diet and Food,Diet and Food,"What are the diet for good digestion and body building
",
Weight Gain,Weight Gain,Weight Gain,how to increase the body weight,
Stress and Anxiety,Stress and Anxiety,General Problems,"I had a short temper problem, how can I solve that",
Diet and Food,Diabetes,Diabetes,what is the best diet for diabetic patients?,
Lungs and Smoking,Lungs and Smoking,Lungs and Smoking,How can I quit smoking..? The best way,
Weight Gain,Weight Gain,Weight Gain,I want my weight gain please suggest me the diet plan? ,
"Stomach, Kidney and Liver","Stomach, Kidney and Liver","Stomach, Kidney and Liver",sir I can't eat anything even IAM hungry can you give any suggestions??,
Weight Gain,Weight Gain,Weight Gain,what could be done to get some weight ?,
"Stomach, Kidney and Liver","Stomach, Kidney and Liver","Stomach, Kidney and Liver",how to become free from gas problem,
Skin,Skin,Skin,how can I make my lips normally,
Hair Treatment,Hair Treatment,Hair Treatment,"what are the prevention measures to avoid hair fall?
",
Skin,Skin,Skin,how acne can be cured???why these are appearing age n age on face?,
Weight Loss,Weight Loss,Weight Loss,can I get a diet chart for reducing my weight,
Gym,Gym,Gym,how to build stamina fastly and run fast,
Body Pain,Body Pain,Body Pain,pain in my left leg please sir specify medicine,
Others,Others,Others,दाद व खुजली को ख्‌तम करने  के उपाय।,
Gym,Gym,Gym,for gaining lean muscle which kind of diet ?,
Sexual Problem,Sexual Problem,Sexual Problem,"I was sex with my gf on dec, 13th 2017/ and she's period 18/dec 2017 and after one month jan, 29 /2018 no periods now this date what is the problem",
Weight Loss,Weight Loss,Weight Loss,how I loss my weight from 45kg to 40 kg !,
Diet and Food,Diet and Food,Diet and Food,What are the diet for body building,
Weight Gain,Weight Gain,Weight Gain,how to increase weight in less time,
General Problems,General Problems,General Problems,"how to get relief allergy by peanut 

",
Diet and Food,Diet and Food,Diet and Food,what food eating for delivery time,
Diet and Food,Diet and Food,Diet and Food,what type of food should prefer in case of having fit body,
Others,Others,Others,mera wait height or age ke hisab se bhut kam he mujhe wait bdane ke liye kya krna hoga,
Diet and Food,Diet and Food,Diet and Food,hii I have regular problem of food poisoning. how to be okay now??,
Others,Others,Others,mho ca samal ana par kya karna chaia,
Gym,Gym,Diet and Food,what are the diet for body builder,
Diet and Food,Diet and Food,Diet and Food,what are the healthy food for a hart patient,
Gym,Gym,Gym,why our heart beats run we fastly,
"Stomach, Kidney and Liver","Stomach, Kidney and Liver","Stomach, Kidney and Liver",motapa kaise kam kare specially stomach,
Others,Others,Others,me ra vajan bad nahi raha hay kay karu?,
Others,Others,Others,mere kandho ke joint me hath hilane par aawaj aati he,
Gym,Gym,Gym,why our heartbeat fast when we run?,
Gym,Gym,Gym,why our heartbeats fast when we run ?,
Sexual Problem,Sexual Problem,Sexual Problem,what can I do grow my penis size,
Others,Others,Others,sir pet motu thayu che ghatadva no koi upay,
Gym,Gym,Gym,saril ko fit rakhne k liye kya karna hoga ,
Weight Loss,Weight Loss,Weight Loss,how to lose weight fast and turn into a healthy person,
Others,Others,Others,sir hasthmathun chhodne ka koi upay h?,
Diet and Food,Diet and Food,Gym,how to fit our body and what food is good for heath,
Diet and Food,Diet and Food,Diet and Food,what should be my diet for gaining mass on my body,
Height,Height,Height,I am 21 years old. Is there any scope of increasing my height?,
Weight Loss,Weight Loss,Weight Loss,how I decrease kg my body one month?,
Weight Gain,Weight Gain,Weight Gain,how my increase body kg in one month?,
General Problems,General Problems,Others,"how check up & scan whole body?
then, what is nearby location at cost or free?",
Hair Treatment,Hair Treatment,Hair Treatment,is hairfall can be controlled?,
Weight Gain,Weight Gain,Weight Gain,how I'm increase weight in one month,
Gym,Gym,Gym,My question is my fitness is week why,
Weight Loss,Weight Loss,Weight Loss,"how to lose wait faster and build muscle
",
Hair Treatment,Height,Height,how increase growth in one year,
Weight Gain,Weight Gain,Weight Gain,I want to increase my weight within one month...how can we do it,
Weight Gain,Weight Gain,Weight Gain,How increase my weight in one month ,
Eyes,Eyes,Eyes, what is the best diet for weak eyesight?,
Body Pain,Body Pain,Body Pain,what is the best treatment for joint pain inlets?,
Cold,Cold,Cold,sir mijhe bhut din se cough or sas lenay mai problem hota hai,
Others,Others,Others,gajkaran k liye upay batayi ye na Dr.,
Hair Treatment,Hair Treatment,Hair Treatment,how to gain hair and proper care,
Height,Height,Height,"how to increase height, what is the proper diet and exercise to increase height?",
Weight Gain,Weight Gain,Weight Gain,"how to gain a, weight? give me a best suggestion of diet?",
Diet and Food,Diet and Food,Others,What are benefits of consuming litchi juice? ,
Diet and Food,Diet and Food,Diet and Food,"hii sir
I have started going to gym so can u give me a diet plan",
Cold,Cold,Cold,"ser mujhe bhut purani cough hai...mai kya Kru...ath mai asthma ke bhi lakshan hai
..tell me what I do +917153954030",
Others,Others,Others,छिंके आना साईनस की निशानी हैकया,
Cold,Cold,Cold,what is malaria and how to cure iy?,
Weight Loss,Weight Loss,Weight Loss,can you tell me about diet for losing weight,
Weight Gain,Weight Gain,Weight Gain,how to gain weight? so can you suggest me best diet?,
Diet and Food,Diet and Food,Diet and Food,can you tell me the best diet?,
Weight Gain,Weight Gain,Weight Gain, what is a safe way to gain weight?,
Weight Loss,Weight Loss,Weight Loss,How to  weight loss hip and stomach?,
Cold,Cold,Cold,what is the symptoms of malaria,
Height,Height,Height,how to gain height through food?,
Diet and Food,Diet and Food,Diet and Food,what is the best veritable for vitamin C?,
Critical,Critical,Critical,how to treat genu varum ( baw shaped lag) without surgery in 20 yrs boy?,
Diabetes,Diabetes,Diabetes,tell me about sugar controlling methods ,
Blood Related,Blood Related,Blood Related,tell me control low blood pressure ,
Lungs and Smoking,"Ear, Nose and Throat",Others,I am 28 year old I have asthma what I can do this ? ,
Weight Loss,Weight Loss,Weight Loss,how is I loses my weight 2 kg? ,
Blood Related,Blood Related,Blood Related,tell me to control high blood pressure??,
Diet and Food,Diet and Food,Diet and Food,Can you tell what is the best balance diet? ,
Diet and Food,Diet and Food,Diet and Food,Can you tell what is the best balance diet?,
Weight Gain,Weight Gain,Weight Gain,how increase weight in 2 month,
Gym,Gym,Diet and Food,Which diet is good for making six pack abs ,
Weight Gain,Weight Gain,Weight Gain,which food is better to increase weight,
Weight Gain,Weight Gain,Weight Gain,how to increase weight in 2 months,
Weight Loss,Weight Loss,Weight Loss,How I lose my weight 2 to 3kg ?,
Dental,Dental,Dental,how can get a bright teeth ????,
Weight Loss,Weight Loss,Weight Loss,how decrease weight in 1 month,
General Problems,General Problems,Others,1. what is the causes of illness?,
Weight Gain,Weight Gain,Weight Gain,"how to increase weight in a month..
.",
Weight Loss,Weight Loss,Weight Loss,Reduce weight in three months!! ,
Weight Gain,Weight Gain,Weight Gain,"how increase weight in 2 month
",
Weight Loss,Weight Loss,Weight Loss,Hello sir I am 22 years old and what should be my weight in that age group.. I am 75 kg is it a good for me or not,
Weight Loss,Weight Loss,Weight Loss,how to lose 10kg weight in a month,
Weight Gain,Weight Gain,Weight Gain,how I can gain weight in few days??,
Sexual Problem,Skin,Skin,I am suffering for fungal infection for 3 months in penis areas some time good but Agen I have,
Weight Gain,Weight Gain,Weight Gain,Does the depression medicines increase weight significantly? If yes how it can be reduced? My mother gained 7kg weight in just a month of taking anti-depression meds.,
General Problems,General Problems,General Problems,How to control Vomiting sensation?,
Body Pain,Body Pain,Body Pain,I'm 18 years old and I'm suffering from back pain. When I sit continuously about more than 1 hour then I suffer from back pain yoo much. What is the cause for this back pain and what are the precautions taken.?,
Weight Loss,Weight Loss,Weight Loss,which are the weight loss exercise ?,
Weight Gain,Weight Gain,Weight Gain,how I gain weight in 30 days ?,
Others,Others,Others,what are the reasons of Beata.,
Hair Treatment,Hair Treatment,Hair Treatment,"how to reduce white hair please tell me any redeem
",
Gym,Gym,Gym,who to build body without gym ?,
Body Pain,Body Pain,Body Pain,getting leg pains any solution,
Skin,Skin,Skin,mere face main chhote  daane hain aur jahan par woh daane hain waha par skin white colour ki hain. sir what is the cause plzz tell and any home treatment. THANK YOU,
"Stomach, Kidney and Liver","Stomach, Kidney and Liver","Stomach, Kidney and Liver",how can I improve my digestive system?,
"Stomach, Kidney and Liver","Stomach, Kidney and Liver","Stomach, Kidney and Liver",what are the best ways to improve my digestion system?,
Gym,Gym,Gym,how to build body without gym?,
General Problems,General Problems,General Problems,can please have any article about cardiovascular health,
Weight Gain,Weight Gain,Weight Gain,how to gain weight in 1month about 60 kg,
Skin,Skin,Skin,I got a scar due to pimple  on face how to get rid it off,
Weight Gain,Weight Gain,Weight Gain,"how can I gain weight easily? 
",
Weight Gain,Weight Gain,Weight Gain,"how can I gain weight in 7 days. 

",
Weight Gain,Weight Gain,Weight Gain,"how can I gain my weight...please tell me...I want to improve my fitness
",
Skin,Skin,Skin,"Sir , what is the cause of white spots on my face and how to remove them.",
Skin,Skin,Skin,suggest me some tips for avoid acne ,
Others,Others,Others,"मोटापा केसे कम करे
 कोई ईलाज ह के ",
Others,Others,Others,mera wajan bahut kam hai kya karu,
Blood Related,Blood Related,Blood Related,It is necessary to donate blood,
Cold,Cold,Cold,which medicine to take in fever,
Diet and Food,Diet and Food,Diet and Food,What should be eaten while diet,
Others,"Ear, Nose and Throat","Ear, Nose and Throat",how to stop bleeding from ears,
General Problems,General Problems,General Problems,sir how can I increase my health. I am thin from childhood ,
Blood Related,Blood Related,Blood Related,How can increase platelets in blood,
Weight Gain,Weight Gain,Weight Gain,to gain weight what I want to do ,
Weight Gain,Weight Gain,Weight Gain,which is the healthy food to gain weight,
Sexual Problem,Sexual Problem,Sexual Problem,How I can make my penis straight ?,
Skin,Skin,Skin,"my lips is always hard.whats caused sir
",
Diet and Food,Diet and Food,Diet and Food,what is the morning energy food,
General Problems,General Problems,General Problems,what should I do to keep healthy?,
Weight Loss,Weight Loss,Weight Loss,How can I reduce my weight... What are steps I should follow.. ,
General Problems,General Problems,General Problems,what should I do for my health?,
Weight Loss,Weight Loss,Weight Loss,how do I lose my weight. I am 98 kgs. ,
Blood Related,Blood Related,Blood Related,best food to control blood pressure ,
Body Pain,Body Pain,Body Pain,I have a small hump like thing on my back of neck.. I also have some back pain problems also. whenever I go for walking my shoulders pain a lot. what is these symptoms??? what to do?? ,
Skin,Skin,Skin,can I get fair? please suggest me ways,
General Problems,General Problems,General Problems,what should I do to keep me healthy?,
Others,"Ear, Nose and Throat","Ear, Nose and Throat",what are the main reasons of mouth ulcers and its permanent treatment,
Gym,Gym,Gym,What should I do to keep me fit ND fine,
General Problems,Gym,General Problems,how can we avoid weakness and increase stamina for better health....,
General Problems,General Problems,General Problems,I want to build a good health...how can I built??,
Others,Body Pain,Body Pain,when ever I walk my legs pained,
Weight Loss,Weight Gain,Weight Loss,how to be fat with ayurved in which I can be fat,
Others,Body Pain,Body Pain,My wrist start paining whenever I played some cricketing shots... ,
"Ear, Nose and Throat","Ear, Nose and Throat","Ear, Nose and Throat","I have asthma at 18 years prevention wanted specially for winters...
",
Height,Height,Height,"I need to Increase My Height as I am very short (5'6"").. What to do??",
Height,Height,Height,I have height problem my height is 4.11 how can I get till 3 inches my age 23,
Weight Loss,Weight Loss,Weight Loss,I have weight problem so  what should I do for  weight lost,
Diet and Food,Diet and Food,Diet and Food,What is a perfect diet for me to maintain my body ,
Others,Weight Loss,Others,"how to loos fatyhdjgn UK dank kIi watching
",
Weight Loss,Weight Loss,Weight Loss,hello I am kasturi and my weight is not getting lost so what should I do for getting decreasing my weight,
General Problems,Gym,Gym,what exercises should I do to recover shoulder dislocation problem,
Diabetes,Diabetes,Diabetes,How to reduce sugar level in our body,
Diabetes,Diabetes,Diabetes,how to low the sugar level raised due to diabetes?,
Others,Others,Others,mera ko nind nahi acne ki dawa koi batawo,
Others,Others,Others,मेरा सिर दर्द कर रहा हेय कओई अच्छा दवा ,
Stress and Anxiety,Stress and Anxiety,Stress and Anxiety,I HAVE TOO STRESS NOT ABLE TO DO ANY WORK SO WHAT I DO,
Cold,Cold,Cold,I am having fever what medicine I should eat ,
Weight Loss,Weight Loss,Weight Loss,How to lose weight in week & month,
General Problems,General Problems,General Problems,which times a day drink a water,
Gym,Gym,Gym,how can I fit nsjdjfjfjfjfkfkffkfkfkcmccmccmck?,
Weight Loss,Weight Loss,Weight Loss,how to loss my weight jxjchchcchchchc?,
Diet and Food,Diet and Food,Diet and Food,what is the morning energy food,
Gym,Gym,Gym,how to get fitness within home?,
Height,Height,Height,Doctor I doesn't have enough height so please can u help how can I increase my height.,
Diet and Food,Diet and Food,Diet and Food,how to get fitness with diet food,
Diet and Food,Diet and Food,Diet and Food,what is the best recipe I wish I eat?,
General Problems,General Problems,General Problems,is health an important for body? ,
Hair Treatment,Hair Treatment,Hair Treatment,"my age is 20 years old ,my hair is changing to slowly to white hair what is the solution for this problem as per Ayurveda
",
Gym,Gym,Gym,how to maintain a body without work,
General Problems,General Problems,General Problems,Which season is best for health?,
Weight Loss,Weight Loss,Weight Loss,"how can I lose weight fast coz my weight s 90
",
"Stomach, Kidney and Liver","Stomach, Kidney and Liver","Stomach, Kidney and Liver",what precautions should be taken for proper functioning of lever,
Weight Loss,Weight Loss,Others,bow can I reduce my tummy without dieting,
Weight Loss,Weight Loss,Weight Loss,I'm a student and I have noticed my tummy is getting bigger n bigger... because of FAT or any things else?,
Weight Loss,Weight Loss,Weight Loss,how to loss my weight by diet? ,
Body Pain,"Stomach, Kidney and Liver","Stomach, Kidney and Liver",At the time of running a pain come to kidney how to treat them? ,
Gym,Gym,Gym,"how can solve the any fitness problems 

",
Stress and Anxiety,Stress and Anxiety,Others,how I manage time table of study,
Sexual Problem,Sexual Problem,Sexual Problem,how to increase sex time during sex?,
Diet and Food,Diet and Food,Diet and Food,what is the best food with nutrition for my 3 years old toddler,
Gym,Gym,Gym,how to maintain fitness without going in gym?,
Others,Others,Others,डॉ मेरे बेटे को दौरे आते है में  इलाज जयपुर चल रहा ह ।पर कोई improment नही आ रहा ह ,
Weight Gain,Weight Gain,Weight Gain,how to gain my weight in few days,
Gym,Gym,Gym,how to maintain natural fitness ,
Gym,Gym,Gym,how to maintain fitness our body ,
Skin,Skin,Skin,what is the solution for pimple ,
Skin,Skin,Skin,How to get brighter and fairer skin as my skin tone is medium dusky and gets darker and darker with time,
General Problems,General Problems,General Problems,How to decrease number of hours of sleeping bcoz now a days I'm feeling sleepy all the time??,
Weight Gain,Weight Gain,Weight Gain,how to gain weight within short days??,
Weight Loss,Weight Loss,Weight Loss,how to lose weight quickly within one month,
Weight Loss,Weight Loss,Weight Loss,how to burn belly fat quickly?,
Gym,Gym,Gym,how to maintain fitness our body,
Gym,Gym,Gym,how to maintain fitness our body,
Weight Loss,Weight Gain,Weight Gain,I'm too slim I need to get weight what should I do ,
Gym,Gym,Gym,how to maintain our body fitness? ,
Weight Gain,Diet and Food,Others,enik ippo 40 kg und...enik ente weight kootanam...food kazikaan pattinilla...enthu cheyyanam?,
Weight Gain,Weight Gain,Weight Gain,I want to gain 10 kg weight now I'm 57 kg ,
General Problems,General Problems,General Problems,what is the better sedule of sleeping,
Gym,Gym,Gym,how to maintain fitness our body,
Gym,Gym,Gym,how to maintain fitness our body ,
General Problems,General Problems,General Problems,please give me tips for health? ,
Weight Loss,Weight Loss,Weight Loss,how can I lose weight.my weight is 50 kg,
Diet and Food,Diet and Food,Diet and Food,wt type of food take for fitting? ,
Weight Gain,Weight Gain,Weight Gain,sir please give me tips for increasing weight? ,
Weight Loss,Weight Loss,Weight Loss,my weight is loss how to improve ,
Weight Loss,Weight Loss,Weight Loss,"how can I lose weight. my weight is 55kg.


",
Weight Gain,Weight Gain,Weight Gain,how can I gain weight fastly please give me tips to get weight fastly,
Weight Loss,Weight Loss,Weight Loss,how can lose my weight am 19 years but my weight is 95,
Hair Treatment,Hair Treatment,Hair Treatment,how to stop hair loss? Help someone any solution?,
Weight Loss,Weight Loss,Weight Loss,what will be the proper steps to control increasing fat ?,
Body Pain,Body Pain,Body Pain,what should I do when I get strain in my leg ,
General Problems,General Problems,Gym,My body is dull Looking  pls tell what I have to do for get better change in my body,
Gym,Gym,Gym,"How can we be fit and fine with our daily routine
",
Hair Treatment,Hair Treatment,Hair Treatment,what is the reason hair fall . pls reply me fast.,
Others,Others,Others,namma arogyavannu hege nibhaeesabeku,
Skin,Skin,Skin,how to remove white spot from face?,
Height,Height,Height,"my height is 5'6"" .what is the normal body weight for my height",
Others,Skin,Skin,"prevention for chickangunya diseases
",
Skin,Eyes,Eyes,what is the reason for dark circles around the eyes?,
Skin,Skin,Skin,what is the solution for pimples on face,
Gym,Gym,Gym,running is important for fitness...?,
Critical,Critical,Critical,What is the progress of nanotechnology in cancer treatment? ,
Cold,Cold,Cold,I have cough daily gjsnsvsmssvjsnvdvdks,
Body Pain,Body Pain,Body Pain,"hlo I got pain in my leg what I have to do 
",
General Problems,Diet and Food,General Problems,best diets for a men for better health,
General Problems,General Problems,General Problems,"what are the requirements ot make me healthy
",
Weight Gain,Weight Gain,Weight Gain,how do I gain weight naturally ?,
Sexual Problem,Sexual Problem,Sexual Problem,doea masturbation affect health or hair or have an effect on dth,
Hair Treatment,Hair Treatment,Hair Treatment,I have some dandruff. Can I remove my dandruff ?,
Weight Gain,Weight Loss,Weight Loss, I am 64 kg weight is this correct weight?,
General Problems,General Problems,General Problems,How much water should I drink in a day? ,
Skin,Skin,Skin,Best treatment for acne in India?,
Hair Treatment,Hair Treatment,Hair Treatment,how to decrease white hair? please suggest a solution,
Skin,Skin,Skin,Best acne scare treatment in India???,
Gym,Gym,Gym,what type of food are good when we join gym??,
Gym,Gym,Gym,can we exercise while we are suffering from pneumothorax?,
Cold,Cold,Cold,"which type of food we should take while suffering from fever
",
Diet and Food,Diet and Food,Diet and Food,what food eat for a healthy life ?,
Weight Loss,Weight Loss,Weight Loss,how to lose fat without heavy gym,
Others,Skin,Others,I am 22 year old  but I see 16 year old but why ???,
Weight Loss,Weight Loss,Weight Loss,How to lose wait I want to be fit,
Blood Related,Blood Related,Blood Related,how to increase blood in body?,
Hair Treatment,Hair Treatment,Hair Treatment,How To Get Rid Of Dandruff Quickly,
Blood Related,Blood Related,Blood Related,how to maintain blood level in body,
Gym,Gym,Gym,how to  fitness tipjhgfs. vnkcfvbnnrdvn,
Weight Loss,Weight Loss,Weight Loss,"How to lose weight? I want to be fit.
",
General Problems,General Problems,General Problems,meri health kyu nahi banti he ,
General Problems,General Problems,General Problems,Can wheat allergy be treated? If can then how?,
Body Pain,Body Pain,Body Pain,Meri kamar mein pain h kaise thik hoga,
Skin,Skin,Skin,how to reduce darkness from face,
General Problems,General Problems,General Problems,how to fresh our body in short time. Brain,
Diabetes,Diabetes,Diabetes,"how to maintain in sugar level normally
",
Others,Others,Others,Mere pair me dard kyu hota hai ,
Gym,Gym,Gym,what should I do for physically fit,
Others,Others,Others,माझी उंची वाढत नाही आहे काय उपाय आहे का,
Body Pain,Body Pain,Body Pain,what is the solution of back pain..?,
Sexual Problem,Sexual Problem,Sexual Problem,is there any natural way of in increasing penis length?,
Others,Others,Others,मेरे आंखो में कभी कभी  दर्‌द होता है।,
Height,Height,Height,how to increase height am in 4.5 inch,
Weight Loss,Weight Loss,Weight Loss,How I memproov my lost weight please suggest ,
Weight Loss,Weight Loss,Weight Loss,How to Wait reduce am in 97kgs ,
General Problems,General Problems,General Problems,What are the requirements  of make me healthy,
Hair Treatment,Hair Treatment,Others,sir meri hai fall bhot ho Rahi hai pls solution?? ,
Diet and Food,Diet and Food,Diet and Food,what I should eat for healthy diet to become fit?,
Weight Loss,Weight Loss,Weight Loss,"I have so fat and I want to be a fitness
",
General Problems,General Problems,Gym,what are the requirements to make healthy body?,
Skin,Skin,Skin,"sir I'm getting rashes over my back, from shoulders to down and it completely filled up with dot spots , how should I clear them",
Headache,Headache,Headache,what is the solution of headache....?,
Weight Loss,Weight Loss,Weight Loss,how to lose our weight without taking any type of medicine,
Body Pain,Body Pain,Body Pain,My right foot thoda sa short hai nd pain bhi hota hai,
Diet and Food,Diet and Food,Diet and Food,how to stay healthy with a normal diet,
Critical,Critical,Critical,"My great toe was fractured 1 year ago, is there any treatment for it?
Sorry questioning way may be wrong but hope you understand it.",
Weight Loss,Weight Gain,Weight Gain,Please tell me how to put on weight in 3 months in a healthy way . ,
Others,Others,Others,kuccha personal hain koi bta Sakta hai plzzz,
Others,Critical,Others,I got ankle fracture.... how to solve this,
Others,Others,Others,Sir main 18 saal ka ho gaya Larkin Meri dadao Abhi as Rahi hai pls help us,
Others,Hair Treatment,Others,mere dadhi ke bal nahi aa rahe aur meri age 25 ho gaya hai kaya karu mai uske liye jo jaldi ho sake kyu ki 3 month me sadi h meri,
Others,Others,Others,hello sir meri aankho me bahut jalan hoti h koi upaye btaye,
Weight Gain,Weight Gain,Weight Gain,how to gain weight easily in simple technique?,
Others,Eyes,Eyes,How can we protect eyes in this highly used electronic devices,
Others,Others,Others,"हलो सर.
 मेरे सिर में हर चार पाँच दिन में बहुत ज़्यादा दर्द होता है..
 क्रपया कर आप इसका कोई उपाय बताए सर..",
Diet and Food,Diet and Food,Diet and Food,What is the healthiest breakfast?,
Skin,Skin,Skin,how to remove white dots from my legs ,
General Problems,General Problems,General Problems,CAN CHIARI MALFORMATION TREATED BY ACCUPUNTURE,
General Problems,General Problems,General Problems,how much daily water drinking is enough ?,
Weight Gain,Weight Gain,Weight Gain,How can I increase my weight? ,
"Ear, Nose and Throat","Ear, Nose and Throat","Ear, Nose and Throat",how to remove wax from ear. the ear hole is small so I'm unable to use ear butt.,
Eyes,Eyes,Eyes,how to improve eyesight ?0iyte,
Body Pain,Body Pain,Body Pain,"what is the solution for back pain...?

",
Stress and Anxiety,Stress and Anxiety,Stress and Anxiety,why we feel too tired sometimes when We wake up after getting a long sleep time,
Hair Treatment,Hair Treatment,Hair Treatment,what is the cause of hairfall?,
Height,Height,Height,how can I increase my height ?,
General Problems,General Problems,General Problems,What are the methods for control IBS,
"Stomach, Kidney and Liver","Stomach, Kidney and Liver","Stomach, Kidney and Liver",I have pain problem in stomach.,
Hair Treatment,Hair Treatment,Hair Treatment,what is the cause of hairfall ?,
Height,Height,Height,how I can increase my height ?,
Hair Treatment,Hair Treatment,Hair Treatment,what is the causes of hair fall?,
Weight Loss,Weight Loss,Weight Loss,How to loss the weight in one week,
Others,Others,Others,চুল উঠে যাওয়ার কারণগুলি কি কি ?,
Weight Gain,Weight Gain,Weight Gain,how to gain weight as I am very thin,
Height,Height,Height,how can I increase my height ?,
Weight Gain,Weight Gain,Weight Gain,how I can increase my weight ?,
Stress and Anxiety,Stress and Anxiety,Stress and Anxiety,what is the causes of weakness?,
Others,Others,Others,डॉक्टर मेरे बल बहुत टूटते है और मेरा वज़न बही कम हो गया है मुझे वज़न बदना है ,
Dental,Dental,Dental,how to keep teeth healthy and cavities free?,
Stress and Anxiety,Stress and Anxiety,Others,I am in deperssion in since three year how I can overcome from this,
Height,Height,Height,"how I can increase my height?
",
Weight Loss,Weight Loss,Weight Loss,how to lose weight in a month?,
Skin,Skin,Skin,what will do for fairness for my face ?,
Dental,Dental,Dental,Which is the suitable toothpaste ,
General Problems,Eyes,Eyes,what can I do for healthy  eyes?,
"Stomach, Kidney and Liver","Stomach, Kidney and Liver","Stomach, Kidney and Liver",solution for digestion problem ,
Diet and Food,Diet and Food,Diet and Food,"what should I eat at night, to be healthy",
Others,Diet and Food,Diet and Food,how much calories does a rice meal have?,
Skin,Skin,Skin,how to remove pimples from face,
"Stomach, Kidney and Liver","Stomach, Kidney and Liver","Stomach, Kidney and Liver",solution for a digestion problem?,
Stress and Anxiety,Stress and Anxiety,Stress and Anxiety,is our mental stress affect our body?,
Diet and Food,Diet and Food,Diet and Food,what can I eat in breakfast ??,
Diet and Food,Diet and Food,Diet and Food,"what diet should take daily to be a healthy body 
",
Body Pain,Body Pain,Body Pain,for gastric pain in chest what to do.?,
Weight Gain,Weight Gain,Weight Gain,how to grow weight of my body ?,
Critical,Critical,Critical,what are the symptoms of cancer,
Diet and Food,Others,Others,I am 40 years old can I take a paleo diet,
General Problems,General Problems,General Problems,daad k liye kon si medicine best h,
Skin,Skin,Skin,there R many tils on my face .now what to do,
Hair Treatment,Hair Treatment,Hair Treatment,how to get permanent hair growth on face,
Body Pain,Body Pain,Body Pain,a knee problem my grand father,
Others,Others,Others,मुजे अपनी आँखों से कम दिखने लगा है मेरी उम्र 25 है ऐसा क्यों हो रहा है और इसका इलाज क्या है,
Others,Others,Others,में अपनी सेक्स पावर कैसे बड़ा सकता हु..?,
Others,"Ear, Nose and Throat",Others,I am. 18 am unable to take deep breath,
Eyes,Eyes,Eyes,If pain is from left eye to half side of head then what is the solution on pain?,
Critical,Critical,Critical,"symptoms of cancer
 like it's cause",
Height,Height,Height,"how to increase height after 20

",
General Problems,General Problems,General Problems,"I have a problem sir 
I can't sleep? ",
Critical,Critical,Critical,what is  symptoms of brain cancer,
Critical,Critical,Critical,What is symptom of blood cancer,
Critical,Critical,Critical,what is the symptoms of cancer?,
"Ear, Nose and Throat","Ear, Nose and Throat","Ear, Nose and Throat",what is symptoms of thyroid????,
Stress and Anxiety,Stress and Anxiety,Others,I study in 12th pls how to study in clear mind?,
General Problems,General Problems,General Problems,how to look handsome within two weeks,
Diabetes,Diabetes,Diabetes,can I drink red bull I'm diabetic ,
General Problems,General Problems,General Problems,"can I drink beer  im
I'm diabetic ",
Weight Loss,Weight Loss,Weight Loss,How to lose weight and increase height?,
Hair Treatment,Hair Treatment,Hair Treatment,I am 20.My hair is falling after every comb. What's the treatment?,
Diabetes,Diabetes,Diabetes,"can I drink whisky I'm diabetic
",
Diabetes,Diabetes,Diabetes,What is Biggest reasons of diabetes?,
Gym,Diet and Food,Gym,which protein going to suit to make muscle,
Weight Gain,Weight Gain,Weight Gain,"I am 20 years old 
but still my weight is less 
how to gain weight... now..",
Height,Height,Height,I am 17 year old and I want to  increase my height what should I do?,
